Frame: 0 | Time: 15.0754 | deltaTime: 0.0070556 | MouseCaptured: 1 | Meshes: 547 | DrawCalls: 1 | Tris: 0
Frame: 60 | Time: 15.498 | deltaTime: 0.0070195 | MouseCaptured: 1 | Meshes: 547 | DrawCalls: 1 | Tris: 0
Frame: 120 | Time: 15.9207 | deltaTime: 0.0070975 | MouseCaptured: 1 | Meshes: 547 | DrawCalls: 1 | Tris: 0
Frame: 0 | Time: 16.083 | deltaTime: 0.0075944 | MouseCaptured: 1 | Meshes: 547 | DrawCalls: 1 | Tris: 0
Frame: 60 | Time: 16.5049 | deltaTime: 0.0070352 | MouseCaptured: 1 | Meshes: 547 | DrawCalls: 1 | Tris: 0
Frame: 120 | Time: 16.9274 | deltaTime: 0.0070157 | MouseCaptured: 1 | Meshes: 547 | DrawCalls: 1 | Tris: 0
Frame: 0 | Time: 17.0895 | deltaTime: 0.0070348 | MouseCaptured: 1 | Meshes: 547 | DrawCalls: 1 | Tris: 0
Frame: 60 | Time: 17.5119 | deltaTime: 0.0070135 | MouseCaptured: 1 | Meshes: 547 | DrawCalls: 1 | Tris: 0
Frame: 120 | Time: 17.9345 | deltaTime: 0.0070304 | MouseCaptured: 1 | Meshes: 547 | DrawCalls: 1 | Tris: 0
Frame: 0 | Time: 18.0964 | deltaTime: 0.0070579 | MouseCaptured: 1 | Meshes: 547 | DrawCalls: 1 | Tris: 0
Frame: 60 | Time: 18.5189 | deltaTime: 0.0070219 | MouseCaptured: 1 | Meshes: 547 | DrawCalls: 1 | Tris: 0
Frame: 120 | Time: 18.9415 | deltaTime: 0.0070259 | MouseCaptured: 1 | Meshes: 547 | DrawCalls: 1 | Tris: 0
Frame: 0 | Time: 19.1035 | deltaTime: 0.0071 | MouseCaptured: 1 | Meshes: 547 | DrawCalls: 1 | Tris: 0
Frame: 60 | Time: 19.5269 | deltaTime: 0.0070453 | MouseCaptured: 1 | Meshes: 547 | DrawCalls: 1 | Tris: 0
